/* DATA DESCRIPTION:
Citation:	Kuhlmann, Jannis; Huhn, Katrin; Ikari, Matt J (2016): CT scan data of sediment core GeoB14403-8 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.868440, 
	In supplement to: Kuhlmann, J et al. (2016): Do embedded volcanoclastic layers serve as potential glide planes? - An integrated analysis from the Gela Basin offshore southern Sicily. In: Lamarche et al. (eds.) Submarine Mass Movements and Their Consequences. Springer, Heidelberg, 41, 273-280, https://doi.org/10.1007/978-3-319-20979-1_27
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: https://www.marum.de/en/)
Coverage:	MEDIAN LATITUDE: 36.856745 * MEDIAN LONGITUDE: 14.231745 * SOUTH-BOUND LATITUDE: 36.856660 * WEST-BOUND LONGITUDE: 14.231660 * NORTH-BOUND LATITUDE: 36.856830 * EAST-BOUND LONGITUDE: 14.231830
	DATE/TIME START: 2010-06-30T03:16:00 * DATE/TIME END: 2010-07-01T12:53:00
	MINIMUM DEPTH, sediment/rock: 28.1800 m * MAXIMUM DEPTH, sediment/rock: 28.3800 m
Event(s):	MSM15/3_617-1 (GeoB14403-8) * LATITUDE START: 36.856830 * LONGITUDE START: 14.231830 * LATITUDE END: 36.856660 * LONGITUDE END: 14.231660 * DATE/TIME START: 2010-06-30T03:16:00 * DATE/TIME END: 2010-07-01T12:53:00 * ELEVATION START: -185.7 m * ELEVATION END: -182.0 m * CAMPAIGN: MSM15/3 (URI: https://doi.org/10.2312/cr_msm15_3) * BASIS: Maria S. Merian (URI: https://en.wikipedia.org/wiki/RV_Maria_S._Merian) * METHOD/DEVICE: MeBo (Meeresboden-Bohrgerät) (MeBo)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de)
	Sample code/label (Sample label) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de)
	Number of slice [#] (No slice) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
	Radiodensity [HU] (Radiodensity) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
	Mesoporosity [%] (Mesoporosity) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	2632 data points
*/
Depth sed [m]	Sample label	No slice [#]	Radiodensity [HU]	Mesoporosity [%]
28.1800	GeoB14403-8_5P-2	0	1035.69	38.22
28.1803	GeoB14403-8_5P-2	1	1036.48	37.39
28.1806	GeoB14403-8_5P-2	2	1042.68	36.70
28.1809	GeoB14403-8_5P-2	3	1046.68	36.04
28.1812	GeoB14403-8_5P-2	4	1049.22	35.30
28.1815	GeoB14403-8_5P-2	5	1050.64	34.68
28.1818	GeoB14403-8_5P-2	6	1052.05	33.80
28.1821	GeoB14403-8_5P-2	7	1053.80	33.29
28.1824	GeoB14403-8_5P-2	8	1054.71	32.85
28.1827	GeoB14403-8_5P-2	9	1054.45	32.31
28.1830	GeoB14403-8_5P-2	10	1054.08	31.87
28.1833	GeoB14403-8_5P-2	11	1054.48	31.56
28.1837	GeoB14403-8_5P-2	12	1054.89	31.14
28.1840	GeoB14403-8_5P-2	13	1054.93	30.72
28.1843	GeoB14403-8_5P-2	14	1055.15	30.32
28.1846	GeoB14403-8_5P-2	15	1055.95	30.01
28.1849	GeoB14403-8_5P-2	16	1056.18	29.71
28.1852	GeoB14403-8_5P-2	17	1056.40	29.04
28.1855	GeoB14403-8_5P-2	18	1055.83	28.36
28.1858	GeoB14403-8_5P-2	19	1055.49	27.84
28.1861	GeoB14403-8_5P-2	20	1056.06	27.39
28.1864	GeoB14403-8_5P-2	21	1056.57	26.96
28.1867	GeoB14403-8_5P-2	22	1057.21	26.47
28.1870	GeoB14403-8_5P-2	23	1057.66	26.10
28.1873	GeoB14403-8_5P-2	24	1057.69	25.76
28.1876	GeoB14403-8_5P-2	25	1057.93	25.48
28.1879	GeoB14403-8_5P-2	26	1059.50	25.25
28.1882	GeoB14403-8_5P-2	27	1060.43	24.99
28.1885	GeoB14403-8_5P-2	28	1060.62	24.66
28.1888	GeoB14403-8_5P-2	29	1060.29	24.34
28.1891	GeoB14403-8_5P-2	30	1060.70	24.06
28.1894	GeoB14403-8_5P-2	31	1061.40	23.75
28.1897	GeoB14403-8_5P-2	32	1061.95	23.32
28.1900	GeoB14403-8_5P-2	33	1062.00	22.92
28.1904	GeoB14403-8_5P-2	34	1061.37	22.50
28.1907	GeoB14403-8_5P-2	35	1060.68	21.97
28.1910	GeoB14403-8_5P-2	36	1059.53	21.48
28.1913	GeoB14403-8_5P-2	37	1058.67	20.80
28.1916	GeoB14403-8_5P-2	38	1058.35	19.88
28.1919	GeoB14403-8_5P-2	39	1058.34	18.81
28.1922	GeoB14403-8_5P-2	40	1058.15	17.98
28.1925	GeoB14403-8_5P-2	41	1057.91	17.03
28.1928	GeoB14403-8_5P-2	42	1057.61	16.16
28.1931	GeoB14403-8_5P-2	43	1057.52	15.27
28.1934	GeoB14403-8_5P-2	44	1057.95	14.74
28.1937	GeoB14403-8_5P-2	45	1059.31	14.17
28.1940	GeoB14403-8_5P-2	46	1061.44	13.85
28.1943	GeoB14403-8_5P-2	47	1062.72	13.65
28.1946	GeoB14403-8_5P-2	48	1062.84	13.64
28.1949	GeoB14403-8_5P-2	49	1063.05	13.56
28.1952	GeoB14403-8_5P-2	50	1063.61	13.52
28.1955	GeoB14403-8_5P-2	51	1063.81	13.28
28.1958	GeoB14403-8_5P-2	52	1063.97	12.98
28.1961	GeoB14403-8_5P-2	53	1064.15	12.62
28.1964	GeoB14403-8_5P-2	54	1063.69	12.87
28.1967	GeoB14403-8_5P-2	55	1063.45	13.22
28.1970	GeoB14403-8_5P-2	56	1063.32	13.73
28.1974	GeoB14403-8_5P-2	57	1063.84	14.31
28.1977	GeoB14403-8_5P-2	58	1064.76	14.95
28.1980	GeoB14403-8_5P-2	59	1064.97	15.33
28.1983	GeoB14403-8_5P-2	60	1064.34	15.83
28.1986	GeoB14403-8_5P-2	61	1064.38	16.04
28.1989	GeoB14403-8_5P-2	62	1063.71	16.21
28.1992	GeoB14403-8_5P-2	63	1062.83	16.40
28.1995	GeoB14403-8_5P-2	64	1059.96	16.56
28.1998	GeoB14403-8_5P-2	65	1058.08	16.78
28.2001	GeoB14403-8_5P-2	66	1057.66	16.36
28.2004	GeoB14403-8_5P-2	67	1057.38	15.54
28.2007	GeoB14403-8_5P-2	68	1055.97	14.03
28.2010	GeoB14403-8_5P-2	69	1055.85	12.84
28.2013	GeoB14403-8_5P-2	70	1054.10	11.89
28.2016	GeoB14403-8_5P-2	71	1053.33	11.27
28.2019	GeoB14403-8_5P-2	72	1051.14	10.79
28.2022	GeoB14403-8_5P-2	73	1049.87	10.75
28.2025	GeoB14403-8_5P-2	74	1048.14	10.69
28.2028	GeoB14403-8_5P-2	75	1048.45	10.69
28.2031	GeoB14403-8_5P-2	76	1048.14	10.74
28.2034	GeoB14403-8_5P-2	77	1047.73	10.57
28.2037	GeoB14403-8_5P-2	78	1047.53	10.59
28.2040	GeoB14403-8_5P-2	79	1047.81	10.62
28.2044	GeoB14403-8_5P-2	80	1047.98	10.38
28.2047	GeoB14403-8_5P-2	81	1047.99	9.94
28.2050	GeoB14403-8_5P-2	82	1046.05	9.20
28.2053	GeoB14403-8_5P-2	83	1043.98	8.64
28.2056	GeoB14403-8_5P-2	84	1042.81	8.14
28.2059	GeoB14403-8_5P-2	85	1041.09	7.69
28.2062	GeoB14403-8_5P-2	86	1040.61	7.47
28.2065	GeoB14403-8_5P-2	87	1042.04	7.39
28.2068	GeoB14403-8_5P-2	88	1045.05	7.34
28.2071	GeoB14403-8_5P-2	89	1047.35	7.30
28.2074	GeoB14403-8_5P-2	90	1049.76	7.29
28.2077	GeoB14403-8_5P-2	91	1050.35	7.22
28.2080	GeoB14403-8_5P-2	92	1049.87	7.11
28.2083	GeoB14403-8_5P-2	93	1049.13	7.11
28.2086	GeoB14403-8_5P-2	94	1048.87	7.10
28.2089	GeoB14403-8_5P-2	95	1049.47	7.03
28.2092	GeoB14403-8_5P-2	96	1050.33	7.07
28.2095	GeoB14403-8_5P-2	97	1051.22	7.08
28.2098	GeoB14403-8_5P-2	98	1051.57	7.11
28.2101	GeoB14403-8_5P-2	99	1051.84	7.07
28.2104	GeoB14403-8_5P-2	100	1052.70	7.11
28.2107	GeoB14403-8_5P-2	101	1053.78	7.24
28.2111	GeoB14403-8_5P-2	102	1056.08	7.31
28.2114	GeoB14403-8_5P-2	103	1058.62	7.48
28.2117	GeoB14403-8_5P-2	104	1060.60	7.48
28.2120	GeoB14403-8_5P-2	105	1061.85	7.51
28.2123	GeoB14403-8_5P-2	106	1061.44	7.43
28.2126	GeoB14403-8_5P-2	107	1060.40	7.21
28.2129	GeoB14403-8_5P-2	108	1059.38	7.06
28.2132	GeoB14403-8_5P-2	109	1059.31	6.95
28.2135	GeoB14403-8_5P-2	110	1059.36	6.90
28.2138	GeoB14403-8_5P-2	111	1058.92	6.76
28.2141	GeoB14403-8_5P-2	112	1058.19	6.76
28.2144	GeoB14403-8_5P-2	113	1057.05	6.83
28.2147	GeoB14403-8_5P-2	114	1055.71	6.75
28.2150	GeoB14403-8_5P-2	115	1054.30	6.72
28.2153	GeoB14403-8_5P-2	116	1051.97	6.69
28.2156	GeoB14403-8_5P-2	117	1050.24	6.67
28.2159	GeoB14403-8_5P-2	118	1048.23	6.70
28.2162	GeoB14403-8_5P-2	119	1047.84	6.90
28.2165	GeoB14403-8_5P-2	120	1048.15	6.99
28.2168	GeoB14403-8_5P-2	121	1048.47	6.98
28.2171	GeoB14403-8_5P-2	122	1048.27	6.86
28.2174	GeoB14403-8_5P-2	123	1047.64	6.90
28.2177	GeoB14403-8_5P-2	124	1046.92	6.84
28.2181	GeoB14403-8_5P-2	125	1045.31	6.72
28.2184	GeoB14403-8_5P-2	126	1043.27	6.61
28.2187	GeoB14403-8_5P-2	127	1041.91	6.60
28.2190	GeoB14403-8_5P-2	128	1042.04	6.60
28.2193	GeoB14403-8_5P-2	129	1041.88	6.63
28.2196	GeoB14403-8_5P-2	130	1041.87	6.77
28.2199	GeoB14403-8_5P-2	131	1042.11	6.95
